Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,113716.187500,159357.531250,103394.265625,152181.281250,152181.281250,583518071752
2017-11-12,152921.500000,281287.593750,138004.796875,157885.609375,157885.609375,951651635774
2017-11-13,157085.296875,170501.750000,118526.523438,153799.718750,153799.718750,550976273562
2017-11-14,152975.062500,157941.750000,137626.015625,144418.312500,144418.312500,192542995814
2017-11-15,143994.187500,150147.343750,134491.093750,136698.109375,136698.109375,149030691392
2017-11-16,135544.671875,136770.671875,99087.585938,101823.718750,101823.718750,230001363026
2017-11-17,102771.218750,136984.109375,97223.554688,132856.734375,132856.734375,359008387548
2017-11-18,134195.984375,155565.484375,134195.984375,140595.187500,140595.187500,342236002107
2017-11-19,141314.656250,141470.437500,128217.039063,131281.328125,131281.328125,144034780892
2017-11-20,131323.890625,139100.562500,130863.765625,139100.562500,139100.562500,90037963720
2017-11-21,137386.578125,137802.562500,128440.273438,132209.031250,132209.031250,86815252369
2017-11-22,131994.500000,149401.125000,131523.812500,145019.312500,145019.312500,168865573839
2017-11-23,144899.125000,187340.703125,144580.437500,187340.703125,187340.703125,457511145861
2017-11-24,183785.937500,198553.765625,175571.187500,183858.328125,183858.328125,348972908800
2017-11-25,182240.015625,184755.031250,171284.437500,175243.750000,175243.750000,173991254062
2017-11-26,175257.125000,196331.218750,174360.421875,193803.796875,193803.796875,177879961213
2017-11-27,192382.375000,194085.937500,178963.109375,180299.968750,180299.968750,154619031644
2017-11-28,180144.421875,181165.578125,171729.375000,172584.625000,172584.625000,142302105600
2017-11-29,172076.734375,187451.953125,149213.000000,152273.921875,152273.921875,262644552876
2017-11-30,154586.515625,164573.437500,137168.500000,156447.531250,156447.531250,136404451503
2017-12-01,155550.359375,166060.171875,146470.812500,163966.437500,163966.437500,108193424410
2017-12-02,163896.937500,168415.671875,158676.421875,160861.250000,160861.250000,64402572794
2017-12-03,160903.859375,186304.937500,159249.250000,176084.906250,176084.906250,166694407588
2017-12-04,176110.859375,178552.421875,169189.875000,177387.734375,177387.734375,87813516860
2017-12-05,177752.203125,182686.656250,168539.984375,168898.046875,168898.046875,116148688000
2017-12-06,168520.187500,171769.546875,156705.000000,160600.234375,160600.234375,129663829594
2017-12-07,160668.734375,163584.390625,149808.781250,150647.968750,150647.968750,145472918089
2017-12-08,150447.625000,196262.421875,141365.515625,166149.468750,166149.468750,289825639506
2017-12-09,166206.218750,173215.875000,153640.578125,160013.609375,160013.609375,120244540984
2017-12-10,160215.593750,160215.593750,139150.312500,150234.593750,150234.593750,100592357117
2017-12-11,149886.000000,164927.515625,149475.640625,161610.562500,161610.562500,104773803680
2017-12-12,162064.718750,186011.453125,162050.453125,183338.203125,183338.203125,157367098184
2017-12-13,183560.703125,192402.921875,169926.312500,181278.609375,181278.609375,140407626204
2017-12-14,180491.546875,234420.593750,179643.593750,220974.468750,220974.468750,305409715295
2017-12-15,221932.046875,221853.062500,188244.781250,204362.968750,204362.968750,164040375697
2017-12-16,205423.359375,212764.062500,199192.609375,202837.625000,202837.625000,109334172648
2017-12-17,204013.984375,218377.921875,203374.593750,209983.828125,209983.828125,115040906604
2017-12-18,210697.343750,264596.187500,202670.875000,247253.781250,247253.781250,285750456607
