Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,59279.558594,83072.109375,53898.804688,79331.179688,79331.179688,304184429503
2017-11-12,79717.046875,146633.515625,71941.062500,82237.312500,82237.312500,495683425603
2017-11-13,81820.460938,89176.414063,61766.667969,80341.703125,80341.703125,287818286330
2017-11-14,79910.914063,82949.242188,71883.281250,76820.476563,76820.476563,102419460284
2017-11-15,76594.875000,80041.140625,71793.546875,72984.906250,72984.906250,79569435760
2017-11-16,72369.070313,72376.500000,52295.609375,53775.695313,53775.695313,121469571583
2017-11-17,54276.097656,72575.031250,51536.781250,70039.937500,70039.937500,189263442928
2017-11-18,70745.960938,82011.617188,70745.960938,74119.515625,74119.515625,180421311309
2017-11-19,74498.812500,74580.937500,67593.960938,69246.476563,69246.476563,75973492610
2017-11-20,69268.929688,73419.734375,69027.101563,73419.734375,73419.734375,47523627756
2017-11-21,72515.062500,72718.554688,67716.359375,69592.351563,69592.351563,45697916569
2017-11-22,69479.421875,78419.234375,69290.179688,76108.742188,76108.742188,88623694461
2017-11-23,76045.671875,98417.687500,75911.226563,98417.687500,98417.687500,240349199792
2017-11-24,96550.226563,104209.265625,92051.960938,96218.914063,96218.914063,182628634112
2017-11-25,95372.007813,96688.187500,89638.593750,91710.632813,91710.632813,91055162952
2017-11-26,91717.632813,102630.546875,91248.359375,101279.234375,101279.234375,92957652667
2017-11-27,100536.414063,101573.382813,93529.164063,94871.828125,94871.828125,81358803475
2017-11-28,94789.976563,95159.835938,89933.171875,90323.203125,90323.203125,74474664960
2017-11-29,90057.398438,97782.726563,78067.664063,79683.765625,79683.765625,137439861188
2017-11-30,80893.929688,86087.109375,71419.890625,81249.875000,81249.875000,70840646758
2017-12-01,80783.929688,87438.539063,76050.898438,86105.781250,86105.781250,56816990231
2017-12-02,86069.281250,88442.265625,83327.773438,84475.117188,84475.117188,33820542877
2017-12-03,84497.492188,97091.820313,83628.585938,91820.757813,91820.757813,86924015671
2017-12-04,91834.296875,93253.828125,88124.585938,92714.226563,92714.226563,45896984772
2017-12-05,92904.718750,95174.796875,88095.882813,88322.296875,88322.296875,60737935200
2017-12-06,88124.695313,89850.687500,82612.882813,84621.164063,84621.164063,68320599224
2017-12-07,84657.257813,86120.164063,78350.117188,78819.539063,78819.539063,76111934547
2017-12-08,78714.718750,102531.367188,73893.679688,86512.078125,86512.078125,150908798374
2017-12-09,86541.617188,90191.468750,79998.835938,83317.203125,83317.203125,62609916852
2017-12-10,83422.375000,83422.375000,72453.929688,78203.359375,78203.359375,52362507691
2017-12-11,78021.898438,85673.351563,77835.710938,83906.117188,83906.117188,54397204212
2017-12-12,84141.914063,97016.914063,84141.914063,95693.437500,95693.437500,82137806802
2017-12-13,95809.570313,100061.945313,88769.570313,94126.304688,94126.304688,72904630247
2017-12-14,93717.632813,122042.046875,93288.492188,115576.789063,115576.789063,159739145298
2017-12-15,116077.625000,116117.710938,98979.531250,106818.632813,106818.632813,85742390315
2017-12-16,107372.898438,111209.812500,104116.140625,106021.359375,106021.359375,57147962909
2017-12-17,106636.226563,114144.125000,106302.023438,109570.132813,109570.132813,60028655325
2017-12-18,109942.445313,137866.578125,105708.734375,128714.968750,128714.968750,148755503557
2017-12-19,128856.781250,171337.968750,126664.695313,164702.656250,164702.656250,229708747692
2017-12-20,165826.156250,255587.781250,165826.156250,230393.281250,230393.281250,698250080949
2017-12-21,229566.968750,229373.859375,177779.484375,190925.250000,190925.250000,214134283441
2017-12-22,194246.250000,196985.578125,112990.492188,157252.890625,157252.890625,226125564408
2017-12-23,160183.718750,202913.375000,156560.718750,189931.093750,189931.093750,165802793688
2017-12-24,190133.437500,190133.437500,150065.781250,169232.750000,169232.750000,99807627744
2017-12-25,170761.781250,179368.812500,160633.296875,171484.593750,171484.593750,78667162264
2017-12-26,171081.234375,179406.343750,169691.109375,179218.796875,179218.796875,89032062329
2017-12-27,179185.953125,179197.140625,159963.578125,166943.171875,166943.171875,81258214103
2017-12-28,166892.328125,167354.796875,142773.015625,147715.765625,147715.765625,185392900018
2017-12-29,148904.812500,168071.015625,137787.890625,160284.968750,160284.968750,142957153115
2017-12-30,160953.796875,160953.796875,134311.421875,137940.375000,137940.375000,72519297200
2017-12-31,137049.562500,151521.031250,135496.859375,146047.031250,146047.031250,75002027305
2018-01-01,146151.390625,146153.703125,137773.750000,140254.171875,140254.171875,53207090086
2018-01-02,140367.187500,165092.781250,140367.187500,155749.125000,155749.125000,105205625726
2018-01-03,155148.765625,170172.375000,148155.468750,149100.453125,149100.453125,267992067826
2018-01-04,149110.750000,149186.765625,134852.875000,138427.906250,138427.906250,306299485943
2018-01-05,136750.953125,150783.421875,135033.546875,147154.093750,147154.093750,120463446963
2018-01-06,147110.250000,161115.750000,141282.687500,158665.156250,158665.156250,95037960772
2018-01-07,158552.984375,174864.468750,155457.296875,158678.250000,158678.250000,82262307550
2018-01-08,158662.328125,160047.734375,129987.265625,138306.859375,138306.859375,81614336582
2018-01-09,137786.531250,142911.375000,133946.140625,136068.046875,136068.046875,61716956994
2018-01-10,135980.421875,168944.453125,132671.921875,165080.078125,165080.078125,147030858536
2018-01-11,164861.718750,169823.343750,136599.984375,139226.125000,139226.125000,110129298486
2018-01-12,139977.484375,149705.765625,136461.265625,148442.906250,148442.906250,62878643776
2018-01-13,148254.312500,161428.468750,146632.828125,152084.625000,152084.625000,69015173328
2018-01-14,152187.140625,155557.562500,141026.406250,144435.187500,144435.187500,56189163661
2018-01-15,143771.078125,145989.015625,131520.187500,135253.296875,135253.296875,79543264180
2018-01-16,135552.921875,135552.921875,87912.460938,100173.515625,100173.515625,96327279560
2018-01-17,99919.703125,105996.023438,77192.835938,99429.257813,99429.257813,82915830903
2018-01-18,99669.296875,106988.625000,96478.632813,99304.687500,99304.687500,57887553459
